Data,Indicador,Valor
2016-06-01,SELIC,1.16
2016-07-01,IPCA,0.52
2016-07-01,SELIC,1.11
2016-08-01,IPCA,0.44
2016-08-01,SELIC,1.22
2016-09-01,IPCA,0.08
2016-09-01,SELIC,1.11
2016-10-01,IPCA,0.26
2016-10-01,SELIC,1.05
2016-11-01,IPCA,0.18
2016-11-01,SELIC,1.04
2016-12-01,IPCA,0.3
2016-12-01,SELIC,1.12
2017-01-01,IPCA,0.38
2017-01-01,SELIC,1.09
2017-02-01,IPCA,0.33
2017-02-01,SELIC,0.87
2017-03-01,IPCA,0.25
2017-03-01,SELIC,1.05
2017-04-01,IPCA,0.14
2017-04-01,SELIC,0.79
2017-05-01,IPCA,0.31
2017-05-01,SELIC,0.93
2017-06-01,IPCA,-0.23
2017-06-01,SELIC,0.81
2017-07-01,IPCA,0.24
2017-07-01,SELIC,0.8
2017-08-01,IPCA,0.19
2017-08-01,SELIC,0.8
2017-09-01,IPCA,0.16
2017-09-01,SELIC,0.64
2017-10-01,IPCA,0.42
2017-10-01,SELIC,0.64
2017-11-01,IPCA,0.28
2017-11-01,SELIC,0.57
2017-12-01,IPCA,0.44
2017-12-01,SELIC,0.54
2018-01-01,IPCA,0.29
2018-01-01,SELIC,0.58
2018-02-01,IPCA,0.32
2018-02-01,SELIC,0.47
2018-03-01,IPCA,0.09
2018-03-01,SELIC,0.53
2018-04-01,IPCA,0.22
2018-04-01,SELIC,0.52
2018-05-01,IPCA,0.4
2018-05-01,SELIC,0.52
2018-06-01,IPCA,1.26
2018-06-01,SELIC,0.52
2018-07-01,IPCA,0.33
2018-07-01,SELIC,0.54
2018-08-01,IPCA,-0.09
2018-08-01,SELIC,0.57
2018-09-01,IPCA,0.48
2018-09-01,SELIC,0.47
2018-10-01,IPCA,0.45
2018-10-01,SELIC,0.54
2018-11-01,IPCA,-0.21
2018-11-01,SELIC,0.49
2018-12-01,IPCA,0.15
2018-12-01,SELIC,0.49
2019-01-01,IPCA,0.32
2019-01-01,SELIC,0.54
2019-02-01,IPCA,0.43
2019-02-01,SELIC,0.49
2019-03-01,IPCA,0.75
2019-03-01,SELIC,0.47
2019-04-01,IPCA,0.57
2019-04-01,SELIC,0.52
2019-05-01,IPCA,0.13
2019-05-01,SELIC,0.54
2019-06-01,IPCA,0.01
2019-06-01,SELIC,0.47
2019-07-01,IPCA,0.19
2019-07-01,SELIC,0.57
2019-08-01,IPCA,0.11
2019-08-01,SELIC,0.5
2019-09-01,IPCA,-0.04
2019-09-01,SELIC,0.46
2019-10-01,IPCA,0.1
2019-10-01,SELIC,0.48
2019-11-01,IPCA,0.51
2019-11-01,SELIC,0.38
2019-12-01,IPCA,1.15
2019-12-01,SELIC,0.37
2020-01-01,IPCA,0.21
2020-01-01,SELIC,0.38
2020-02-01,IPCA,0.25
2020-02-01,SELIC,0.29
2020-03-01,IPCA,0.07
2020-03-01,SELIC,0.34
2020-04-01,IPCA,-0.31
2020-04-01,SELIC,0.28
2020-05-01,IPCA,-0.38
2020-05-01,SELIC,0.24
2020-06-01,IPCA,0.26
2020-06-01,SELIC,0.21
2020-07-01,IPCA,0.36
2020-07-01,SELIC,0.19
2020-08-01,IPCA,0.24
2020-08-01,SELIC,0.16
2020-09-01,IPCA,0.64
2020-09-01,SELIC,0.16
2020-10-01,IPCA,0.86
2020-10-01,SELIC,0.16
2020-11-01,IPCA,0.89
2020-11-01,SELIC,0.15
2020-12-01,IPCA,1.35
2020-12-01,SELIC,0.16
2021-01-01,IPCA,0.25
2021-01-01,SELIC,0.15
2021-02-01,IPCA,0.86
2021-02-01,SELIC,0.13
2021-03-01,IPCA,0.93
2021-03-01,SELIC,0.2
2021-04-01,IPCA,0.31
2021-04-01,SELIC,0.21
2021-05-01,IPCA,0.83
2021-05-01,SELIC,0.27
2021-06-01,IPCA,0.53
2021-06-01,SELIC,0.31
2021-07-01,IPCA,0.96
2021-07-01,SELIC,0.36
2021-08-01,IPCA,0.87
2021-08-01,SELIC,0.43
2021-09-01,IPCA,1.16
2021-09-01,SELIC,0.44
2021-10-01,IPCA,1.25
2021-10-01,SELIC,0.49
2021-11-01,IPCA,0.95
2021-11-01,SELIC,0.59
2021-12-01,IPCA,0.73
2021-12-01,SELIC,0.77
2022-01-01,IPCA,0.54
2022-01-01,SELIC,0.73
2022-02-01,IPCA,1.01
2022-02-01,SELIC,0.76
2022-03-01,IPCA,1.62
2022-03-01,SELIC,0.93
2022-04-01,IPCA,1.06
2022-04-01,SELIC,0.83
2022-05-01,IPCA,0.47
2022-05-01,SELIC,1.03
2022-06-01,IPCA,0.67
2022-06-01,SELIC,1.02
2022-07-01,IPCA,-0.68
2022-07-01,SELIC,1.03
2022-08-01,IPCA,-0.36
2022-08-01,SELIC,1.17
2022-09-01,IPCA,-0.29
2022-09-01,SELIC,1.07
